tax	BUD-52-MGE-S144	CHA-55-MGE-S150	CM-NTC-008-CTRL	FRA-19-MGE-S160	FRA-53-MGE-S147	GIN-52-MGE-S145	GOO-20-MGE-S161	GOO-22-MGE-S139	GRO-56-MGE-S151	HAM-18-MGE-S157	HAM-23-MGE-S140	HER-24-MGE-S142	HER-53-MGE-S146	IRI-17-MGE-S155	IRI-23-MGE-S141	JOA-24-MGE-S143	JOA-56-MGE-S152	JOA-60-MGE-S154	LAM-17-MGE-S156	LAM-55-MGE-S149	MAR-53-MGE-S148	OPH-19-MGE-S159	WOL-18-MGE-S158	WOL-58-MGE-S153	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	2	0	0	5	4	7	0	0	0	1	1	2	1	13	6	0	1	1	0	0	0	20	2	0	66
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	3	3	0	0	0	0	0	0	0	2	47	4	6	0	0	0	0	0	0	0	0	0	0	0	65
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	4	0	0	0	3	0	8	0	1	6	23	3	0	0	0	0	0	0	15	0	0	63
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	0	0	0	0	0	0	0	0	0	9	33	3	10	0	0	0	0	0	0	0	0	5	0	0	60
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	2	10	0	0	0	0	5	3	1	5	5	5	6	0	0	0	7	1	0	0	0	10	0	0	60
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	1	1	0	5	2	3	8	4	0	3	0	0	3	12	0	0	1	3	0	2	0	0	2	6	56
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	0	21	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	1	1	52
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	0	0	0	1	1	3	0	1	0	0	0	0	0	17	24	0	0	1	1	0	0	0	1	0	50
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	1	7	0	1	1	0	0	0	0	2	2	3	1	16	2	0	0	0	0	2	3	8	0	1	50
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	3	1	0	1	1	0	3	3	2	4	3	3	2	6	1	0	0	3	0	0	0	4	0	8	48
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	16	0	0	3	1	0	0	2	0	0	2	3	2	3	0	0	0	0	3	0	2	3	8	48
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	5	0	0	0	0	0	2	2	0	0	0	0	0	0	0	14	15	6	0	0	0	0	0	0	44
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	2	7	0	0	0	0	0	1	1	1	1	0	1	21	5	0	0	1	0	2	0	0	0	1	44
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	2	2	0	1	1	0	5	2	1	4	1	0	0	0	3	0	1	1	0	0	0	5	4	5	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	3	1	0	2	0	0	4	4	2	1	0	2	3	6	0	0	1	2	0	0	0	2	1	2	36
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	3	0	0	2	5	0	0	0	0	0	0	0	0	3	13	0	4	3	0	0	0	0	0	0	33
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	1	0	0	0	2	0	4	1	0	0	0	0	0	6	12	2	3	2	0	0	0	0	0	0	33
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	1	0	0	0	0	2	0	1	5	2	1	2	9	0	0	0	1	0	0	0	4	1	4	33
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	3	0	0	0	1	0	2	4	0	0	0	3	4	6	0	0	2	2	0	0	0	1	3	2	33
