tax	CM-NTC-002-CTRL	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	GRO-70-DRS-S15	HAM-17-MGE-S5	HAM-67-MGE-S12	IRI-16-MGE-S1	JAR-2-DRS-S3	JAR-2-MGE-S4	JAR-3-DRS-S18	JAR-3-MGE-S19	JAR-44-MGE-S10	JOA-3-MGE-S23	KOR-44-MGE-S8	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	MAR-41-MGE-S9	WOL-44-MGE-S6	WOL-70-MGE-S2	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	0	0	0	3	8	12	180	39	294	8	6	24	16	6	20	14	4	36	5	5	3	3	20	44	750
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	0	0	0	11	4	2	144	165	0	33	96	38	20	11	75	79	5	0	13	13	16	23	0	0	748
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	0	0	0	6	6	4	79	6	355	1	3	15	23	15	8	31	0	23	1	2	2	2	36	123	741
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	0	5	0	0	0	3	58	5	201	460	0	1	0	0	0	0	0	1	3	0	0	0	0	737
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	0	0	0	46	27	7	174	89	9	1	6	14	8	22	0	1	7	188	0	0	0	9	43	72	723
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter kilianii	0	197	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	0	48	28	5	134	33	177	0	0	0	0	3	0	11	1	39	0	0	6	43	38	91	657
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	0	0	17	642
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	0	0	71	625
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	0	0	0	7	8	9	48	9	100	50	20	104	58	5	14	6	8	26	22	25	3	6	36	53	617
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	0	171	437	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	616
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	0	0	0	2	2	2	31	118	81	81	118	13	9	2	2	9	2	29	6	7	11	3	20	36	584
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	0	0	0	7	8	9	60	9	44	61	33	90	57	2	26	16	2	26	18	24	21	18	19	23	573
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	0	0	0	5	11	5	82	15	52	35	22	55	47	6	33	28	4	29	11	10	12	7	40	38	547
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	0	0	0	0	117	31	0	0	0	7	13	9	16	30	1	77	0	6	18	6	73	117	521
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	431	0	0	1	0	0	0	0	4	58	0	0	0	0	2	20	516
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	0	0	0	7	12	6	82	19	144	7	2	37	16	5	19	21	14	25	5	10	3	4	24	38	500
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	0	0	0	0	0	0	1	0	264	0	0	0	0	0	37	0	0	0	16	25	0	0	61	96	500
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	0	138	356	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	498
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	0	219	258	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	486
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	1	0	0	0	0	0	26	474
